"tract_id","pop_h1","pop_h2","pop_h3","pop_qty"
"06081608025","Other","NatAm","P0020007",9.99999999999989
"06081608025","AsnPI","Asian","P0020008",3297.99999999996
"06081608025","AsnPI","PcIsl","P0020009",41.9999999999996
"06081608025","Other","Other","P0020010",43.9999999999995
"06081608025","Other","Multi","P0020011",255.999999999997
"06097150901","HspLt","HspLt","P0020002",1681.99999999999
"06097150901","White","White","P0020005",2817.99999999999
"06097150901","AABlk","AABlk","P0020006",73.9999999999997
"06097150901","Other","NatAm","P0020007",28.9999999999999
"06097150901","AsnPI","Asian","P0020008",139.999999999999
"06097150901","AsnPI","PcIsl","P0020009",33.9999999999998
"06097150901","Other","Other","P0020010",29.9999999999999
"06097150901","Other","Multi","P0020011",296.999999999999
"06081611902","HspLt","HspLt","P0020002",3567.99999999995
"06081611902","White","White","P0020005",605.999999999992
"06081611902","AABlk","AABlk","P0020006",1011.99999999999
"06081611902","Other","NatAm","P0020007",1.99999999999997
"06081611902","AsnPI","Asian","P0020008",426.999999999994
"06081611902","AsnPI","PcIsl","P0020009",411.999999999994
"06081611902","Other","Other","P0020010",55.9999999999992
"06081611902","Other","Multi","P0020011",251.999999999997
"06081613701","HspLt","HspLt","P0020002",729.99048520014
"06081613701","White","White","P0020005",3041.96035065592
"06081613701","AABlk","AABlk","P0020006",21.9997132526069
"06081613701","Other","NatAm","P0020007",3.99994786411035
"06081613701","AsnPI","Asian","P0020008",292.996181046083
"06081613701","AsnPI","PcIsl","P0020009",5.99992179616553
"06081613701","Other","Other","P0020010",9.99986966027589
"06081613701","Other","Multi","P0020011",204.997328035656
"06075032802","HspLt","HspLt","P0020002",240
"06075032802","White","White","P0020005",1132
"06075032802","AABlk","AABlk","P0020006",53
"06075032802","Other","NatAm","P0020007",5
"06075032802","AsnPI","Asian","P0020008",2467
"06075032802","AsnPI","PcIsl","P0020009",3
"06075032802","Other","Other","P0020010",28
"06075032802","Other","Multi","P0020011",169
"06041119202","HspLt","HspLt","P0020002",212.000000000001
"06041119202","White","White","P0020005",2803.00000000001
"06041119202","AABlk","AABlk","P0020006",11.0000000000001
"06041119202","Other","NatAm","P0020007",0
"06041119202","AsnPI","Asian","P0020008",245.000000000001
"06041119202","AsnPI","PcIsl","P0020009",5.00000000000002
"06041119202","Other","Other","P0020010",34.0000000000002
"06041119202","Other","Multi","P0020011",257.000000000001
"06041119201","HspLt","HspLt","P0020002",689.000000000004
"06041119201","White","White","P0020005",2317.00000000001
"06041119201","AABlk","AABlk","P0020006",107.000000000001
"06041119201","Other","NatAm","P0020007",3.00000000000002
"06041119201","AsnPI","Asian","P0020008",248.000000000002
"06041119201","AsnPI","PcIsl","P0020009",2.00000000000001
"06041119201","Other","Other","P0020010",65.0000000000004
"06041119201","Other","Multi","P0020011",213.000000000001
"06075980300","HspLt","HspLt","P0020002",51.8862884741338
"06075980300","White","White","P0020005",111.755082867365
"06075980300","AABlk","AABlk","P0020006",37.9169031157132
"06075980300","Other","NatAm","P0020007",4.98906619943594
"06075980300","AsnPI","Asian","P0020008",37.9169031157132
"06075980300","AsnPI","PcIsl","P0020009",15.965011838195
"06075980300","Other","Other","P0020010",2.99343971966156
"06075980300","Other","Multi","P0020011",19.9562647977438
"06075980200","HspLt","HspLt","P0020002",6.00000000000001
"06075980200","White","White","P0020005",46.0000000000001
"06075980200","AABlk","AABlk","P0020006",21
"06075980200","Other","NatAm","P0020007",0
"06075980200","AsnPI","Asian","P0020008",5.00000000000001
"06075980200","AsnPI","PcIsl","P0020009",0
"06075980200","Other","Other","P0020010",0
"06075980200","Other","Multi","P0020011",1
"06013359203","HspLt","HspLt","P0020002",1441.99999999999
"06013359203","White","White","P0020005",1127.99999999999
"06013359203","AABlk","AABlk","P0020006",1142.99999999999
"06013359203","Other","NatAm","P0020007",6.99999999999995
"06013359203","AsnPI","Asian","P0020008",2863.99999999998
"06013359203","AsnPI","PcIsl","P0020009",20.9999999999998
"06013359203","Other","Other","P0020010",58.9999999999996
"06013359203","Other","Multi","P0020011",348.999999999997
"06095252702","HspLt","HspLt","P0020002",1764
"06095252702","White","White","P0020005",1790
"06095252702","AABlk","AABlk","P0020006",1250
"06095252702","Other","NatAm","P0020007",23.9999999999999
"06095252702","AsnPI","Asian","P0020008",1576
"06095252702","AsnPI","PcIsl","P0020009",53.9999999999999
"06095252702","Other","Other","P0020010",32.9999999999999
"06095252702","Other","Multi","P0020011",547.999999999999
"06095253108","HspLt","HspLt","P0020002",120.34465586588
"06095253108","White","White","P0020005",183.824165181393
"06095253108","AABlk","AABlk","P0020006",26.0899864625266
"06095253108","Other","NatAm","P0020007",2.93971678451004
"06095253108","AsnPI","Asian","P0020008",32.5206169286423
"06095253108","AsnPI","PcIsl","P0020009",1.6535906912869
"06095253108","Other","Other","P0020010",3.39904753208973
"06095253108","Other","Multi","P0020011",29.1215693965526
"06095253300","HspLt","HspLt","P0020002",0.102884369945889
"06095253300","White","White","P0020005",0.120480481815139
"06095253300","AABlk","AABlk","P0020006",0.00173076510189345
"06095253300","Other","NatAm","P0020007",0.000769228934174868
"06095253300","AsnPI","Asian","P0020008",0.00557690977276779
"06095253300","AsnPI","PcIsl","P0020009",0.000384614467087434
"06095253300","Other","Other","P0020010",0.00144230425157788
"06095253300","Other","Multi","P0020011",0.00971151529395771
"06013322000","HspLt","HspLt","P0020002",855.999999999992
"06013322000","White","White","P0020005",3948.99999999996
"06013322000","AABlk","AABlk","P0020006",101.999999999999
"06013322000","Other","NatAm","P0020007",12.9999999999999
"06013322000","AsnPI","Asian","P0020008",1083.99999999999
"06013322000","AsnPI","PcIsl","P0020009",22.9999999999998
"06013322000","Other","Other","P0020010",41.9999999999996
"06013322000","Other","Multi","P0020011",458.999999999996
"06013314103","HspLt","HspLt","P0020002",3371.00000000002
"06013314103","White","White","P0020005",608.000000000003
"06013314103","AABlk","AABlk","P0020006",746.000000000003
"06013314103","Other","NatAm","P0020007",6.00000000000003
"06013314103","AsnPI","Asian","P0020008",580.000000000003
"06013314103","AsnPI","PcIsl","P0020009",36.0000000000002
