"US_ISRM_id","src_h1","pol_abbr","ems_qty","ems_unit"
"971","nonpt","NOx",1.21092,"ton/yr"
"971","nonpt","SOx",0.0289706,"ton/yr"
"971","nonpt","VOC",13.8007,"ton/yr"
"971","nonpt","NH3",0.453068,"ton/yr"
"971","np_oilgas","VOC",0.0724084,"ton/yr"
"971","onroad","PM25",0.518441,"ton/yr"
"971","onroad","NOx",15.315,"ton/yr"
"971","onroad","SOx",0.0605779,"ton/yr"
"971","onroad","VOC",5.0284,"ton/yr"
"971","onroad","NH3",0.42058,"ton/yr"
"971","rail","PM25",0.0395003,"ton/yr"
"971","rail","NOx",1.1321,"ton/yr"
"971","rail","SOx",0.000718187,"ton/yr"
"971","rail","VOC",0.113877,"ton/yr"
"971","rail","NH3",0.000220268,"ton/yr"
"971","rwc","PM25",2.77124,"ton/yr"
"971","rwc","NOx",0.235973,"ton/yr"
"971","rwc","SOx",0.0380219,"ton/yr"
"971","rwc","VOC",1.40027,"ton/yr"
"971","rwc","NH3",0.0397482,"ton/yr"
"972","afdust","PM25",2.18373,"ton/yr"
"972","ag","NH3",144.56,"ton/yr"
"972","agfire","PM25",1.51183,"ton/yr"
"972","agfire","NOx",1.14671,"ton/yr"
"972","agfire","SOx",0.0275659,"ton/yr"
"972","agfire","VOC",1.26417,"ton/yr"
"972","agfire","NH3",0.173074,"ton/yr"
"972","nonpt","PM25",1.33965,"ton/yr"
"972","nonpt","NOx",1.61812,"ton/yr"
"972","nonpt","SOx",0.25779,"ton/yr"
"972","nonpt","VOC",41.2174,"ton/yr"
"972","nonpt","NH3",0.996622,"ton/yr"
"972","np_oilgas","VOC",0.0904544,"ton/yr"
"972","onroad","PM25",0.858376,"ton/yr"
"972","onroad","NOx",24.8256,"ton/yr"
"972","onroad","SOx",0.099155,"ton/yr"
"972","onroad","VOC",8.34198,"ton/yr"
"972","onroad","NH3",0.697548,"ton/yr"
"972","rail","PM25",0.287739,"ton/yr"
"972","rail","NOx",8.24676,"ton/yr"
"972","rail","SOx",0.00523161,"ton/yr"
"972","rail","VOC",0.829534,"ton/yr"
"972","rail","NH3",0.00160453,"ton/yr"
"972","rwc","PM25",1.57883,"ton/yr"
"972","rwc","NOx",0.134439,"ton/yr"
"972","rwc","SOx",0.0216619,"ton/yr"
"972","rwc","VOC",0.797764,"ton/yr"
"972","rwc","NH3",0.0226454,"ton/yr"
"973","afdust","PM25",2.13774,"ton/yr"
"973","ag","NH3",180.019,"ton/yr"
"973","agfire","PM25",1.88267,"ton/yr"
"973","agfire","NOx",1.42798,"ton/yr"
"973","agfire","SOx",0.0343276,"ton/yr"
"973","agfire","VOC",1.57426,"ton/yr"
"973","agfire","NH3",0.215528,"ton/yr"
"973","nonpt","PM25",0.915512,"ton/yr"
"973","nonpt","NOx",1.37071,"ton/yr"
"973","nonpt","SOx",0.389203,"ton/yr"
"973","nonpt","VOC",42.4314,"ton/yr"
"973","nonpt","NH3",0.310399,"ton/yr"
"973","np_oilgas","VOC",0.0575308,"ton/yr"
"973","onroad","PM25",0.309115,"ton/yr"
"973","onroad","NOx",9.03338,"ton/yr"
"973","onroad","SOx",0.035908,"ton/yr"
"973","onroad","VOC",3.00118,"ton/yr"
"973","onroad","NH3",0.250987,"ton/yr"
"973","rwc","PM25",5.87075,"ton/yr"
"973","rwc","NOx",0.499898,"ton/yr"
"973","rwc","SOx",0.0805478,"ton/yr"
"973","rwc","VOC",2.96641,"ton/yr"
"973","rwc","NH3",0.0842048,"ton/yr"
"974","afdust","PM25",1.24897,"ton/yr"
"974","ag","NH3",148.181,"ton/yr"
"974","agfire","PM25",1.5497,"ton/yr"
"974","agfire","NOx",1.17543,"ton/yr"
"974","agfire","SOx",0.0282565,"ton/yr"
"974","agfire","VOC",1.29584,"ton/yr"
"974","agfire","NH3",0.17741,"ton/yr"
"974","nonpt","PM25",0.510714,"ton/yr"
"974","nonpt","NOx",1.18015,"ton/yr"
"974","nonpt","SOx",0.20348,"ton/yr"
"974","nonpt","VOC",34.2766,"ton/yr"
"974","nonpt","NH3",0.410385,"ton/yr"
"974","np_oilgas","VOC",0.0415414,"ton/yr"
"974","onroad","PM25",0.251617,"ton/yr"
"974","onroad","NOx",7.24491,"ton/yr"
"974","onroad","SOx",0.0289961,"ton/yr"
"974","onroad","VOC",2.4463,"ton/yr"
"974","onroad","NH3",0.204546,"ton/yr"
"974","rwc","PM25",2.81251,"ton/yr"
"974","rwc","NOx",0.239487,"ton/yr"
"974","rwc","SOx",0.0385882,"ton/yr"
"974","rwc","VOC",1.42113,"ton/yr"
"974","rwc","NH3",0.0403401,"ton/yr"
"975","afdust","PM25",0.58737,"ton/yr"
"975","ag","NH3",171.428,"ton/yr"
"975","agfire","PM25",1.79283,"ton/yr"
"975","agfire","NOx",1.35984,"ton/yr"
"975","agfire","SOx",0.0326895,"ton/yr"
"975","agfire","VOC",1.49914,"ton/yr"
"975","agfire","NH3",0.205243,"ton/yr"
"975","nonpt","PM25",0.44481,"ton/yr"
"975","nonpt","NOx",0.770839,"ton/yr"
"975","nonpt","SOx",0.250652,"ton/yr"
"975","nonpt","VOC",37.0336,"ton/yr"
"975","nonpt","NH3",0.485874,"ton/yr"
"975","np_oilgas","VOC",0.0758433,"ton/yr"
"976","afdust","PM25",0.694661,"ton/yr"
