"US_ISRM_id","pol_abbr","ems_qty","ems_unit"
"1022","NOx",333.234,"ton/yr"
"1022","SOx",3.2145,"ton/yr"
"1022","VOC",327.301,"ton/yr"
"1022","NH3",27.3541,"ton/yr"
"1023","PM25",2.92443,"ton/yr"
"1023","NOx",14.7421,"ton/yr"
"1023","SOx",0.128885,"ton/yr"
"1023","VOC",16.4165,"ton/yr"
"1023","NH3",4.60953,"ton/yr"
"1024","PM25",8.32153,"ton/yr"
"1024","NOx",53.9474,"ton/yr"
"1024","SOx",0.565885,"ton/yr"
"1024","VOC",65.435,"ton/yr"
"1024","NH3",31.5941,"ton/yr"
"1025","PM25",27.2157,"ton/yr"
"1025","NOx",175.265,"ton/yr"
"1025","SOx",1.92416,"ton/yr"
"1025","VOC",202.842,"ton/yr"
"1025","NH3",34.1395,"ton/yr"
"1026","PM25",9.45052,"ton/yr"
"1026","NOx",32.327,"ton/yr"
"1026","SOx",0.382762,"ton/yr"
"1026","VOC",69.6731,"ton/yr"
"1026","NH3",183.707,"ton/yr"
"1027","PM25",19.6424,"ton/yr"
"1027","NOx",70.1056,"ton/yr"
"1027","SOx",0.826673,"ton/yr"
"1027","VOC",107.455,"ton/yr"
"1027","NH3",144.801,"ton/yr"
"1028","PM25",19.371,"ton/yr"
"1028","NOx",83.646,"ton/yr"
"1028","SOx",1.2324,"ton/yr"
"1028","VOC",133.593,"ton/yr"
"1028","NH3",79.5355,"ton/yr"
"1029","PM25",29.9608,"ton/yr"
"1029","NOx",115.928,"ton/yr"
"1029","SOx",1.75378,"ton/yr"
"1029","VOC",165.554,"ton/yr"
"1029","NH3",46.4385,"ton/yr"
"1030","PM25",57.0242,"ton/yr"
"1030","NOx",274.755,"ton/yr"
"1030","SOx",2.99212,"ton/yr"
"1030","VOC",336.133,"ton/yr"
"1030","NH3",644.139,"ton/yr"
"1031","PM25",1.27349,"ton/yr"
"1031","NOx",2.3654,"ton/yr"
"1031","SOx",0.0279148,"ton/yr"
"1031","VOC",10.0226,"ton/yr"
"1031","NH3",0.41899,"ton/yr"
"1032","PM25",1.95335,"ton/yr"
"1032","NOx",13.9308,"ton/yr"
"1032","SOx",0.0867498,"ton/yr"
"1032","VOC",11.5277,"ton/yr"
"1032","NH3",1.02155,"ton/yr"
"1033","PM25",2.36035,"ton/yr"
"1033","NOx",10.3293,"ton/yr"
"1033","SOx",0.085193,"ton/yr"
"1033","VOC",17.6882,"ton/yr"
"1033","NH3",1.25728,"ton/yr"
"1034","PM25",2.37836,"ton/yr"
