isrm,PrimaryPM25,NO3,NH4,SO4,SOA,TotalPM25,Total,White,Black,Native_American,Asian,Pacific_Islander,Other,Multiple,Hispanic,White non hispanic,geometry,Area,DeathsK,DeathsK_White,DeathsK_Asian,DeathsK_Black,DeathsK_Hispanic,Pop_density,DeathsK_per,DeathsK_area,TotalPM_area,Black_per,Asian_per,Hispanic_per
983,0.770766908,0.14487708,0.208150389,0.058064582,0.211830643,1.393689602,,,,,,,,,,,"POLYGON ((-122.501418 37.69297578999999, -122.5045823 37.7016623, -122.5155607 37.69915782999999, -122.5123952 37.69047162999997, -122.501418 37.69297578999999))",0.999997866,,,,,,,,,1.393692575,,,
984,0.772094029,0.145656003,0.208159776,0.058076796,0.211972595,1.395959199,,,,,,,,,,,"POLYGON ((-122.5045823 37.7016623, -122.5077474 37.71034876, -122.5187271 37.70784397000001, -122.5155607 37.69915782999999, -122.5045823 37.7016623))",1.000002969,,,,,,,,,1.395955055,,,
985,1.069666493,0.298550224,0.249484274,0.061619617,0.276499898,1.955820507,,,,,,,,,,,"POLYGON ((-122.51408 37.72772151, -122.5172474 37.73640779999999, -122.5282307 37.73390207999999, -122.525062 37.7252161, -122.51408 37.72772151))",0.999999278,,,,,,,,,1.955821918,,,
986,1.085398993,0.303312412,0.25059066,0.061649091,0.279809794,1.98076095,,,,,,,,,,,"POLYGON ((-122.5172474 37.73640779999999, -122.5204155 37.74509402999999, -122.5314 37.742588, -122.5282307 37.73390207999999, -122.5172474 37.73640779999999))",0.999998834,,,,,,,,,1.98076326,,,
987,0.639151441,0.08474615,0.198193357,0.060889079,0.163944575,1.146924602,3342,0.79293836,37,17,284,14,113,227,481,2169,"POLYGON ((-122.4651625 37.62598232999999, -122.4714773 37.64335679999999, -122.4934179 37.63835325999999, -122.4870982 37.62098002999999, -122.4651625 37.62598232999999))",4.000001458,0.20911922,0.165818651,0.017770754,0.002315204,0.03009765,835.4996955,6.26E-05,0.052279786,0.286731046,0.011071215,0.084979054,0.143925793
988,0.950494435,0.192477009,0.205702371,0.058303477,0.255866598,1.662843891,,,,,,,,,,,"POLYGON ((-122.4967671 37.71285249999999, -122.5030971 37.73022586999999, -122.525062 37.7252161, -122.5187271 37.70784397000001, -122.4967671 37.71285249999999))",3.999996326,,,,,,,,,0.415711355,,,
989,0.976088521,0.293013858,0.237761506,0.061731431,0.238267559,1.806862876,,,,,,,,,,,"POLYGON ((-122.5094303 37.74759902, -122.5157665 37.76497193999997, -122.5377411 37.75995967000001, -122.5314 37.742588, -122.5094303 37.74759902))",3.999993394,,,,,,,,,0.451716465,,,
990,0.795208364,0.264326944,0.232682004,0.061076452,0.178162367,1.531456131,,,,,,,,,,,"POLYGON ((-122.5157665 37.76497193999997, -122.5221058 37.78234462999997, -122.5440853 37.77733111000001, -122.5377411 37.75995967000001, -122.5157665 37.76497193999997))",3.999999882,,,,,,,,,0.382864044,,,
991,0.632904269,0.221392907,0.215802205,0.060848281,0.129589454,1.260537116,,,,,,,,,,,"POLYGON ((-122.5221058 37.78234462999997, -122.5284481 37.79971708, -122.5504325 37.79470231999999, -122.5440853 37.77733111000001, -122.5221058 37.78234462999997))",4.000000102,,,,,,,,,0.315134271,,,
992,1.130843491,0.379915042,1.161697103,0.021926973,0.243262213,2.937644821,5078,0.668570303,194,93,321,14,765,296,1441,1954,"POLYGON ((-122.7588337 38.42495630999999, -122.7652911 38.44231893, -122.7874572 38.43725794, -122.7809949 38.41989657, -122.7588337 38.42495630999999))",4.000006528,0.818116023,0.546968078,0.051716275,0.031255319,0.232159352,1269.497928,0.00016111,0.204528672,0.734410007,0.038204017,0.063213864,0.283773139
